start_time,end_time,low_freq,high_freq,event,class,class_prob,det_prob,individual,input_file,Site name
141.01749999999998,141.0257,41796.0,54612.0,Echolocation,Pipistrellus nathusii,0.4,0.52,-1,/mnt/ubna_data_01/recover-20220622_unit2/20220621_100000.WAV,Foliage
141.1155,141.1242,40937.0,54662.0,Echolocation,Pipistrellus nathusii,0.529,0.62,-1,/mnt/ubna_data_01/recover-20220622_unit2/20220621_100000.WAV,Foliage
141.3865,141.3958,41796.0,50520.0,Echolocation,Pipistrellus nathusii,0.518,0.6,-1,/mnt/ubna_data_01/recover-20220622_unit2/20220621_100000.WAV,Foliage
141.5665,141.574,40078.0,51766.0,Echolocation,Pipistrellus nathusii,0.474,0.548,-1,/mnt/ubna_data_01/recover-20220622_unit2/20220621_100000.WAV,Foliage
141.8465,141.85320000000002,38359.0,55822.0,Echolocation,Pipistrellus nathusii,0.36,0.514,-1,/mnt/ubna_data_01/recover-20220622_unit2/20220621_100000.WAV,Foliage
141.94650000000001,141.9548,40078.0,50510.0,Echolocation,Pipistrellus nathusii,0.612,0.645,-1,/mnt/ubna_data_01/recover-20220622_unit2/20220621_100000.WAV,Foliage
142.2265,142.2345,40937.0,48565.0,Echolocation,Pipistrellus nathusii,0.456,0.597,-1,/mnt/ubna_data_01/recover-20220622_unit2/20220621_100000.WAV,Foliage
142.4915,142.5001,43515.0,55945.0,Echolocation,Pipistrellus pipistrellus,0.292,0.536,-1,/mnt/ubna_data_01/recover-20220622_unit2/20220621_100000.WAV,Foliage
142.6495,142.654,43515.0,54038.0,Echolocation,Pipistrellus nathusii,0.325,0.523,-1,/mnt/ubna_data_01/recover-20220622_unit2/20220621_100000.WAV,Foliage
142.9025,142.91,41796.0,58306.0,Echolocation,Pipistrellus nathusii,0.419,0.551,-1,/mnt/ubna_data_01/recover-20220622_unit2/20220621_100000.WAV,Foliage
142.9905,142.9964,42656.0,54828.0,Echolocation,Pipistrellus nathusii,0.347,0.515,-1,/mnt/ubna_data_01/recover-20220622_unit2/20220621_100000.WAV,Foliage
144.2475,144.2536,42656.0,64468.0,Echolocation,Pipistrellus nathusii,0.222,0.534,-1,/mnt/ubna_data_01/recover-20220622_unit2/20220621_100000.WAV,Foliage
413.7685,413.7844,27187.0,29929.0,Echolocation,Nyctalus leisleri,0.699,0.744,-1,/mnt/ubna_data_01/recover-20220622_unit2/20220621_100000.WAV,Foliage
414.4915,414.5052,27187.0,32668.0,Echolocation,Nyctalus leisleri,0.303,0.548,-1,/mnt/ubna_data_01/recover-20220622_unit2/20220621_100000.WAV,Foliage
414.7315,414.7412,28906.0,35237.0,Echolocation,Eptesicus serotinus,0.253,0.516,-1,/mnt/ubna_data_01/recover-20220622_unit2/20220621_100000.WAV,Foliage
415.5575,415.5745,27187.0,30244.0,Echolocation,Nyctalus leisleri,0.648,0.688,-1,/mnt/ubna_data_01/recover-20220622_unit2/20220621_100000.WAV,Foliage
415.9085,415.9257,27187.0,30510.0,Echolocation,Nyctalus leisleri,0.543,0.602,-1,/mnt/ubna_data_01/recover-20220622_unit2/20220621_100000.WAV,Foliage
416.5035,416.5202,27187.0,31267.0,Echolocation,Nyctalus leisleri,0.345,0.546,-1,/mnt/ubna_data_01/recover-20220622_unit2/20220621_100000.WAV,Foliage
416.7595,416.7752,27187.0,30675.0,Echolocation,Nyctalus leisleri,0.439,0.569,-1,/mnt/ubna_data_01/recover-20220622_unit2/20220621_100000.WAV,Foliage
417.2485,417.2638,27187.0,30809.0,Echolocation,Nyctalus leisleri,0.498,0.613,-1,/mnt/ubna_data_01/recover-20220622_unit2/20220621_100000.WAV,Foliage
975.1935,975.2095,26328.0,28746.0,Echolocation,Nyctalus leisleri,0.507,0.556,-1,/mnt/ubna_data_01/recover-20220622_unit2/20220621_100000.WAV,Foliage
976.1135,976.1311,25468.0,29585.0,Echolocation,Nyctalus leisleri,0.543,0.607,-1,/mnt/ubna_data_01/recover-20220622_unit2/20220621_100000.WAV,Foliage
976.6755,976.6898,25468.0,29251.0,Echolocation,Nyctalus leisleri,0.421,0.514,-1,/mnt/ubna_data_01/recover-20220622_unit2/20220621_100000.WAV,Foliage
977.0345,977.0492,26328.0,28922.0,Echolocation,Nyctalus leisleri,0.466,0.553,-1,/mnt/ubna_data_01/recover-20220622_unit2/20220621_100000.WAV,Foliage
1076.8025,1076.8172,26328.0,30485.0,Echolocation,Nyctalus leisleri,0.444,0.597,-1,/mnt/ubna_data_01/recover-20220622_unit2/20220621_100000.WAV,Foliage
1077.5735,1077.5898,25468.0,28660.0,Echolocation,Nyctalus leisleri,0.601,0.661,-1,/mnt/ubna_data_01/recover-20220622_unit2/20220621_100000.WAV,Foliage
